139.84.236.69:443#ZA [336.21ms 4.01Mbps]
85.159.229.122:443#IE [336.55ms 5.15Mbps]
90.156.220.194:2053#AE [336.64ms 2.3Mbps]
157.85.96.9:443#TH [341.43ms 3.23Mbps]
139.84.226.30:8443#ZA [347.6ms 1.03Mbps]
38.180.196.40:8443#BR [350.58ms 0.12Mbps]
129.154.251.13:443#IN [351.48ms 0.15Mbps]
38.180.78.255:443#BR [351.5ms 3.46Mbps]
180.149.44.54:443#AZ [353.55ms 4.85Mbps]
143.110.247.61:2096#IN [354.69ms 0.36Mbps]
149.33.19.136:2053#AR [359.43ms 4.52Mbps]
20.67.254.104:443#IE [360.88ms 4.81Mbps]
5.180.29.91:443#CL [361.44ms 0.23Mbps]
64.176.9.170:8443#CL [363.97ms 4.17Mbps]
64.176.10.195:443#CL [364.03ms 0.0Mbps]
91.148.134.83:2053#CO [372.98ms 5.34Mbps]
45.202.246.172:443#MO [384.31ms 1.05Mbps]
64.176.11.9:8443#CL [391.46ms 1.3Mbps]
64.176.4.154:8443#CL [392.43ms 1.31Mbps]
134.255.210.217:443#CY [401.46ms 1.37Mbps]
64.176.15.110:2053#CL [421.67ms 3.95Mbps]
102.209.117.68:443#ZA [433.79ms 1.6Mbps]
89.221.224.101:2053#IS [439.58ms 1.95Mbps]
5.144.180.142:443#KG [442.06ms 0.65Mbps]
89.221.224.101:8443#IS [442.3ms 1.44Mbps]
146.56.188.74:443#KR [451.14ms 1.46Mbps]
140.238.17.157:443#KR [455.23ms 2.98Mbps]
195.86.13.120:443#ID [465.16ms 3.36Mbps]
188.240.213.98:2053#KG [483.95ms 0.74Mbps]
89.147.109.212:443#IS [486.47ms 1.5Mbps]
185.48.250.164:443#RS [486.92ms 1.0Mbps]
188.240.213.98:8443#KG [487.91ms 1.11Mbps]
89.185.82.38:8443#MK [495.05ms 1.47Mbps]
156.244.43.22:443#QA [496.54ms 0.26Mbps]
193.201.15.39:443#CY [535.27ms 2.93Mbps]
